"os"	"os_major"	"browser"	"browser_major"	"edits"	"percentage"
"Ubuntu"	"Other"	"Chromium"	"38"	758	0.022265794247024
"Windows 8.1"	"Other"	"Chrome"	"34"	751	0.0220601734558246
"Windows 8.1"	"Other"	"Chrome"	"41"	749	0.022001424658339
"Ubuntu"	"Other"	"Firefox"	"16"	745	0.0218839270633679
"Windows 8"	"Other"	"Chrome"	"35"	742	0.0217958038671396
"Windows 7"	"Other"	"Firefox"	"18"	738	0.0216783062721685
"Windows 7"	"Other"	"Chrome"	"30"	722	0.0212083158922841
"Windows 8.1"	"Other"	"Chrome"	"31"	707	0.0207676999111424
"Windows Vista"	"Other"	"Chrome"	"36"	684	0.0200920887400586
"Mac OS X"	"10"	"Chrome"	"21"	646	0.0189758615878331
"Linux"	"Other"	"Firefox"	"24"	616	0.0180946296255499
"Windows Vista"	"Other"	"Chrome"	"35"	604	0.0177421368406365
"Windows XP"	"Other"	"Firefox"	"20"	600	0.0176246392456654
"Windows 7"	"Other"	"Firefox"	"20"	595	0.0174777672519516
"Windows 7"	"Other"	"Pale Moon (Firefox Variant)"	"25"	575	0.016890279277096
"Windows 7"	"Other"	"Firefox"	"16"	567	0.0166552840871538
"Windows XP"	"Other"	"Firefox"	"15"	564	0.0165671608909255
"Windows XP"	"Other"	"Firefox"	"14"	562	0.01650841209344
"Ubuntu"	"Other"	"Firefox"	"24"	560	0.0164496632959544
"Windows 7"	"Other"	"Firefox"	"19"	546	0.0160384217135556
"Windows 7"	"Other"	"Chrome"	"23"	544	0.01597967291607
"Windows XP"	"Other"	"Chrome"	"30"	540	0.0158621753210989
"Windows XP"	"Other"	"Firefox"	"27"	524	0.0153921849412145
"Windows 7"	"Other"	"Chrome"	"26"	503	0.0147753225676162
"Windows 8"	"Other"	"Firefox"	"32"	498	0.0146284505739023
"Windows 8"	"Other"	"Chrome"	"33"	481	0.0141290857952751
"Linux"	"Other"	"Firefox"	"17"	453	0.0133066026304774
"Mac OS X"	"10"	"Firefox"	"31"	451	0.0132478538329919
"Windows XP"	"Other"	"Mail.ru Chromium Browser"	"32"	446	0.013100981839278
"Windows XP"	"Other"	"Firefox"	"16"	438	0.0128659866493358
"Windows XP"	"Other"	"Firefox"	"23"	436	0.0128072378518502
"Mac OS X"	"10"	"Firefox"	"32"	425	0.0124841194656797
"Windows Vista"	"Other"	"Firefox"	"36"	417	0.0122491242757375
"Windows 8"	"Other"	"Firefox"	"31"	415	0.0121903754782519
"Windows 8.1"	"Other"	"Firefox"	"31"	415	0.0121903754782519
"FreeBSD"	"Other"	"Chrome"	"16"	410	0.0120435034845381
"Windows Vista"	"Other"	"Firefox"	"15"	402	0.0118085082945958
"iOS"	"8"	"Chrome Mobile iOS"	"39"	395	0.0116028875033964
"Windows Vista"	"Other"	"Firefox"	"31"	389	0.0114266411109398
"Ubuntu"	"Other"	"Chromium"	"40"	386	0.0113385179147114
"Windows XP"	"Other"	"Chrome"	"26"	377	0.0110741483260265
"Windows Vista"	"Other"	"Chrome"	"38"	377	0.0110741483260265
"Windows 8.1"	"Other"	"Chrome"	"32"	373	0.0109566507310553
"Linux"	"Other"	"Firefox"	"32"	365	0.0107216555411131
"Windows XP"	"Other"	"Firefox"	"18"	337	0.00989917237631542
"Windows Vista"	"Other"	"Chrome"	"31"	330	0.00969355158511599
"Windows 8.1"	"Other"	"Firefox"	"37"	328	0.00963480278763044
"Windows 8"	"Other"	"Safari"	"5"	321	0.00942918199643101
"Windows Vista"	"Other"	"Chrome"	"37"	309	0.0090766892115177
"Windows 7"	"Other"	"Mail.ru Chromium Browser"	"28"	291	0.00854795003414774
"Windows 7"	"Other"	"Firefox"	"15"	287	0.00843045243917664
"Windows 8"	"Other"	"Opera"	"27"	253	0.00743172288192226
"Windows 8"	"Other"	"Firefox"	"36"	251	0.00737297408443671
"Linux"	"Other"	"Iceweasel"	"34"	248	0.00728485088820838
"Windows 7"	"Other"	"Chrome"	"25"	240	0.00704985569826618
"Windows 8"	"Other"	"Chrome"	"31"	240	0.00704985569826618
"Windows XP"	"Other"	"Firefox"	"19"	238	0.00699110690078062
"Linux"	"Other"	"Chrome"	"27"	217	0.00637424452718233
"Linux"	"Other"	"Chrome"	"35"	209	0.00613924933724013
"Ubuntu"	"Other"	"Firefox"	"23"	209	0.00613924933724013
"Other"	"Other"	"Opera Mini"	"4"	185	0.00543426376741351
"Linux"	"Other"	"Firefox"	"36"	185	0.00543426376741351
"Windows 7"	"Other"	"Chrome"	"42"	183	0.00537551496992796
"Ubuntu"	"Other"	"Chromium"	"25"	172	0.00505239658375743
"Mac OS X"	"10"	"Firefox"	"30"	171	0.00502302218501465
"Ubuntu"	"Other"	"Chromium"	"31"	167	0.00490552459004355
"Windows 8.1"	"Other"	"Maxthon"	"4"	165	0.004846775792558
"Windows"	"Other"	"IE"	"11"	163	0.00478802699507244
"Android"	"Other"	"Firefox Mobile"	"34"	162	0.00475865259632967
"Windows"	"Other"	"Firefox"	"35"	159	0.00467052940010134
"Windows 8.1"	"Other"	"Firefox"	"29"	158	0.00464115500135857
"Windows 7"	"Other"	"Chrome"	"18"	156	0.00458240620387301
"Windows Vista"	"Other"	"Chrome"	"33"	156	0.00458240620387301
"Windows 7"	"Other"	"Firefox"	"11"	140	0.0041124158239886
"Windows 8.1"	"Other"	"Firefox"	"28"	130	0.00381867183656085
"Android"	"4"	"Chrome Mobile"	"39"	129	0.00378929743781807
"Ubuntu"	"Other"	"Firefox"	"25"	116	0.00340743025416198
"Linux"	"Other"	"Chrome"	"28"	111	0.00326055826044811
"Windows 7"	"Other"	"Opera"	"25"	111	0.00326055826044811
"Android"	"4"	"Chrome"	"39"	107	0.003143060665477
"Windows XP"	"Other"	"Firefox"	"11"	105	0.00308431186799145
"Windows 8.1"	"Other"	"Mail.ru Chromium Browser"	"32"	103	0.0030255630705059
"Windows 8"	"Other"	"Mail.ru Chromium Browser"	"32"	100	0.00293743987427757
"Ubuntu"	"Other"	"Firefox"	"18"	96	0.00281994227930647
"BlackBerry Tablet OS"	"2"	"BlackBerry WebKit"	"2"	85	0.00249682389313594
"Windows XP"	"Other"	"IE"	"6"	76	0.00223245430445096
"Android"	"1"	"Android"	"1"	59	0.00173308952582377
